title,categories/keyword,author_tags,title_tfidf
lower limb rehabilitation robot sitting position review training activitiesarticleopen access,journal healthcare engineering,biological organ control theory robot control strategy nonlinear impedance passivity property post stroke patient rehabilitation robot sitting position stroke rehabilitation training activity neuromuscular rehabilitation adult algorithm ankle article cerebrovascular accident control system controlled study cycling exercise human lower limb male normal human sitting stroke rehabilitation torque device exoskeleton rehabilitation kinesiotherapy lower limb pathophysiology procedure robotics stroke rehabilitation adult exercise therapy exoskeleton device human lower extremity male robotics sitting position stroke rehabilitation,[0. 0. 0. ... 0. 0. 0.]
co geological storage coupled water alternating gas enhanced oil recoveryarticle,chemical engineering transaction,carbon capture carbon dioxide computer software gas geology global warming hydrocarbon refining injection oil well oil well flooding water injection well stimulation carbon sequestration co geological storage current technology enhanced oil recovery geological formation natural gas processing total hydrocarbon water alternating gas enhanced recovery,[0. 0. 0. ... 0. 0. 0.]
enhancing antibacterial activity propionibacterium acne staphylococcus aureus combination tetracycline selected compoundsarticle,chemistry letter,minimum inhibitory concentration propionibacterium acne synergistic effect,[0. 0. 0. ... 0. 0. 0.]
cigs thin film solar cell gradedband gap fabricated ciscgs bilayer cgsciscgs trilayer systemsconference paperopen access,journal physic conference series,copper alloy deposition efficiency energy gap fabrication gallium gallium alloy grading indium alloy lime open circuit voltage semiconductor alloy solar cell substrate thin film back surface field external quantum efficiency graded band gap nonuniformity soda lime glass substrate source temperature substrate temperature threestage process thin film solar cell,[0. 0. 0. ... 0. 0. 0.]
analysis socioeconomic behavioral factor influencing participation communitybased recycling program case periurban town thailandarticleopen access,sustainability switzerland,communitybased recycling curbside pickup msw socioeconomics factor management practice municipal solid waste periurban area policy approach recycling socioeconomic condition waste management willingness pay thailand,[0. 0. 0. ... 0. 0. 0.]
improvement synergistic extraction neodymium ion via robust model predictive controlbook chapter,computer aided chemical engineering,hollow fiber supported liquid membrane model predictive control neodymium ion synergistic,[0. 0. 0. ... 0. 0. 0.]
purification upgrading biogas biomethanearticleopen access,nihon enerugi gakkaishijournal japan institute energy,biogas purification upgrading biogas biomethane diethanolamine dea computer software corrosion energy efficiency energy utilization methane purification recovery absorption process biogas purification biogas biomethane biogas upgrading biomethane chemical scrubbing diethanolamine energyconsumption water scrubbing biogas,[0. 0. 0. ... 0. 0. 0.]
thai norm name image category agreement object familiarity visual complexity manipulability age acquisition color photographic objectsarticle,journal psycholinguistic research,bank standardized stimulus bos crosslinguistic picture norm thai adolescent color female human language male nomenclature photography psycholinguistics recognition standard thailand vision young adult adolescent color female human language male name photography psycholinguistics recognition psychology thailand visual perception young adult,[0. 0. 0. ... 0. 0. 0.]
multiobjective car sequencing problem twosided assembly linesarticle,journal intelligent manufacturing,car sequencing problem pareto optimum twosided assembly line assembly machine pareto principle car sequencing problem conflicting objective constraint violation estimation distribution algorithm multi objective pareto optimum solution quality twosided assembly line assembly,[0. 0. 0. ... 0. 0. 0.]
thaileptoonadmission probability thailepto score early tool initial diagnosis leptospirosis result thailepto aki study grouparticleopen access,plo neglected tropical disease,accuracy acute kidney failure adult agglutination test alcoholism article blood analysis body mass body weight centrifugation clinical prediction score controlled study diagnostic accuracy diagnostic test diagnostic test accuracy study dna extraction female hemoglobin blood level hospital admission human hypokalemia hyponatremia hypotension jaundice leptospirosis major clinical study male middle aged multicenter study multivariate logistic regression analysis myalgia neutrophilia polymerase chain reaction primary health care probability prospective study receiver operating characteristic scoring system sensitivity specificity thai lepto admission probability tool use urinalysis validation process world health organization young adult acute kidney failure area curve clinical trial early diagnosis isolation purification leptospira leptospirosis multivariate analysis severity illness index statistical model thailand validation study acute kidney injury adult agglutination test area curve early diagnosis female human leptospira leptospirosis logistic model male middle aged multivariate analysis prospective study roc curve sensitivity specificity severity illness index thailand,[0. 0. 0. ... 0. 0. 0.]
comparison digital image analysis visual assessment immunohistochemical expression breast cancerarticle,pathology research practice,breast cancer digital image analysis dual insitu hybridization epidermal growth factor receptor epidermal growth factor receptor erbb protein human tumor marker article breast carcinoma clinical evaluation cohort analysis consensus manual microscopy controlled study diagnostic test accuracy study digital imaging dual situ hybridization false negative result false positive result gene amplification human human cell human tissue image analysis immunohistochemistry situ hybridization intermethod comparison kappa statistic major clinical study manual microscopy microscopy protein expression retrospective study sensitivity specificity breast tumor comparative study female image processing immunohistochemistry metabolism pathology procedure biomarkers tumor breast neoplasm female gene amplification human image processing computerassisted immunohistochemistry receptor erbb,[0. 0. 0. ... 0. 0. 0.]
search pair production vectorlike quark bwbw channel protonproton collision stevarticleopen access,physic letter section b nuclear elementary particle highenergy physic,cm physic vectorlike quark,[0. 0. 0. ... 0. 0. 0.]
valproic acid attenuates nitric oxide interleukin production lipopolysaccharidestimulated ironrich microgliaarticleopen access,biomedical report,interlukin iron microglia nitric oxide valproic acid inducible nitric oxide synthase interleukin beta iron lipopolysaccharide nitric oxide transcription factor rela valproic acid animal cell article bv cell line cell viability assay controlled study cytokine production cytotoxicity enzyme linked immunosorbent assay gene expression immunofluorescence microscopy immunofluorescence test iron binding capacity microglia mtt assay neuroprotection nonhuman nuclear localization signal protein expression reverse transcription polymerase chain reaction,[0. 0. 0. ... 0. 0. 0.]
nurse turnover intention impact leadermember exchange organizational identification job embeddednessarticle,journal advanced nursing,job embeddedness leadermember exchange nursing organizational identification thailand turnover intention article attention bootstrapping confirmatory factor analysis employee employer human human experiment leadership manpower nurse organization perception questionnaire self report thailand theoretical study turnover time adult crosssectional study female health personnel attitude job satisfaction male middle aged nurse administrator nursing nursing staff personnel management psychology public relation statistic numerical data thailand adult attitude health personnel crosssectional study female human interprofessional relation job satisfaction male middle aged nurse administrator nursing staff hospital nursing supervisory personnel turnover self report survey questionnaire thailand,[0. 0. 0. ... 0. 0. 0.]
normal probability plot confidence residual linear regressionarticle,communication statistic simulation computation,graphical test linear regression model normal distribution normal probability plot power residual simultaneous inference normal distribution probability probability distribution regression analysis testing graphical test linear regression model normal probability plot power residual simultaneous inference linear regression,[0. 0. 0. ... 0. 0. 0.]
factor influencing nurseassessed quality nursing care crosssectional study hospitalsarticle,journal advanced nursing,burnout intention leave job satisfaction nurse patienttonurse ratio quality nursing care structural equationxamodelling work environment adult attention burnout crosssectional study effect size female hospital administrator human internal consistency job satisfaction male nurse nursing management quality nursing care questionnaire tertiary care center theoretical study validity work environment burnout china crosssectional study health care quality middle aged nurse patient relationship nursing care psychology publication reproducibility statistic numerical data workplace young adult adult burnout professional china crosssectional study female human job satisfaction male middle aged nursepatient relation nursing care quality health care reproducibility result survey questionnaire translation workplace young adult,[0. 0. 0. ... 0. 0. 0.]
effect sex skeletal age sagittal skeletal pattern pharyngeal airway dimension related structure growing thai orthodontic patientsarticle,orthodontic wave,growing lateral cephalometric radiograph pharyngeal airway pharyngeal structure threeway anova,[0. 0. 0. ... 0. 0. 0.]
utilization hexabromoacetone protection alcohol aldehyde deprotection acetal ketals oxime uv irradiationarticle,research chemical intermediate,acetal aldehyde deprotection diol glycerol hexabromoacetone ketal oxime protection solketal aldehyde glycerol acetal deprotection diol hexabromoacetone ketal oxime protection solketal irradiation,[0. 0. 0. ... 0. 0. 0.]
testicular structure spermatogenesis short mackerel rastrelliger brachysoma bleeker upper gulf thailandarticleopen access,asiapacific journal molecular biology biotechnology,histology rastrelliger brachysoma testis thailand,[0. 0. 0. ... 0. 0. 0.]
addon treatment curcumin antidepressive effect thai patient major depression result randomized doubleblind placebocontrolled studyarticle,neurotoxicity research,depression immune inflammation oxidative nitrosative stress curcumin placebo antidepressant agent curcumin add therapy adult antidepressant activity article controlled study double blind procedure drug dose increase drug effect drug efficacy drug safety drug tolerability electrocardiography female follow hamilton anxiety scale human major clinical study major depression male montgomery asberg depression rating scale priority journal randomized controlled trial sex difference suicidal ideation thai people adolescent dose response epidemiology major depression middle aged nonparametric test psychological rating scale thailand treatment outcome young adult adolescent adult antidepressive agent curcumin depressive disorder major doseresponse relationship drug doubleblind method female human male middle aged psychiatric status rating scale statistic nonparametric thailand treatment outcome young adult,[0. 0. 0. ... 0. 0. 0.]
deficit schizophrenia characterized defect igmmediated response tryptophan catabolites trycats paradigm shift towards defect natural selfregulatory immune response coupled mucosaderived trycat pathway activationarticle,molecular neurobiology,cytokine ido immune inflammation kynurenine oxidative stress hydroxykynurenine anthranilic acid immunoglobulin immunoglobulin kynurenic acid picolinic acid quinolinic acid tryptophan tryptophan catabolite unclassified drug xanthurenic acid biological marker immunoglobulin kynurenic acid quinolinic acid tryptophan xanthurenic acid adult aged article autoregulation controlled study deficit schizophrenia female human immune response inflammation major clinical study male oxidative stress pathogenesis schizophrenia signal transduction blood cellular immunity drug effect immunology metabolism middle aged physiology psychology schizophrenia signal transduction adult biomarkers female human immunity cellular immunoglobulin kynurenic acid male metabolism middle aged quinolinic acid schizophrenia schizophrenic psychology signal transduction tryptophan xanthurenates,[0. 0. 0. ... 0. 0. 0.]
reduction enhanced coagulation dissolved organic nitrogen precursor nnitrosodimethylaminearticle,journal environmental science health part toxichazardous substance environmental engineering,dissolved organic matter fluorescence excitationemission matrix humic fulvic acid polyaluminium chloride powder activated carbon tryptophan activated carbon activated carbon treatment amino acid biological material chemical water treatment coagulation dissolution fluorescence nitrogen organic carbon water analysis water treatment water treatment plant dissolved organic matter fluorescence excitation emission matrix humic fulvic acid polyaluminium chloride powder activated carbon tryptophan chlorine compound dimethylnitrosamine dissolved organic matter organic nitrogen water aluminum hydroxide aluminum oxychloride carbon charcoal dimethylnitrosamine nitrogen organic compound article controlled study limit detection ph powder reduction chemistry thailand water quality water treatment chemistry isolation purification procedure waste water water management water pollutant aluminum hydroxide carbon charcoal dimethylnitrosamine nitrogen organic chemical thailand waste water water pollutant chemical water purification,[0. 0. 0. ... 0. 0. 0.]
cospatial star formation supermassive black hole growth z galaxy evidence situ coevolutionarticleopen access,astrophysical journal letter,galaxy evolution galaxy starburst,[0. 0. 0. ... 0. 0. 0.]
conebeam computed tomographic study root canal morphology maxillary first second permanent molar thai populationarticleopen access,journal endodontics,conebeam computed tomography first maxillary molar mesiobuccal canal root canal morphology second maxillary molar thai population adult classification cone beam computed tomography endodontist human male maxilla molar tooth morphology prevalence thai citizen tooth root canal adolescent aged anatomy histology child dental pulp cavity diagnostic imaging female maxilla middle aged molar tooth thailand tooth root young adult adolescent adult aged child conebeam computed tomography dental pulp cavity female human male maxilla middle aged molar thailand tooth root young adult,[0. 0. 0. ... 0. 0. 0.]
gold nanorods stabilized biocompatible multifunctional zwitterionic copolymer synergistic cancer therapyarticle,molecular pharmaceutic,acidlabile linkage drugconjugated polymer gold nanorods mpc copolymer photothermal therapy methacryloyloxyethylphosphorylcholine copolymer doxorubicin gold nanorod methacrylic acid doxorubicin gold methacrylic acid nanotube polymer article biocompatibility cancer cell cancer therapy confocal laser scanning microscopy controlled study drug conjugation drug cytotoxicity drug release drug stability flow cytometry ic vitro study internalization lysosome mdamb cell line particle size priority journal chemistry confocal microscopy drug delivery system human procedure tumor cell line cell line tumor doxorubicin drug delivery system flow cytometry gold human lysosome methacrylates microscopy confocal nanotube polymer,[0. 0. 0. ... 0. 0. 0.]
analysis relation green logistics management practice export intensity thai food drink smesarticleopen access,journal international logistics trade,export intensity food drink glm practice green logistics management smes sustainability,[0. 0. 0. ... 0. 0. 0.]
alu hypermethylation high oxidative stress patient musculoskeletal tumorsarticleopen access,peerj,ohdg alu methylation blood leukocyte musculoskeletal tumor oxidative stress hydroxydeoxyguanosine adult aged alu article bone tumor clinical article controlled study enzyme linked immunosorbent assay human human cell human tissue leukocyte methylation muscle tumor oxidative stress retroposon,[0. 0. 0. ... 0. 0. 0.]
comparison zinc lead cadmium cobalt manganese iron chromium copper duck egg three duck farm system central western thailandarticle,ecotoxicology environmental safety,duck egg food safety heavy metal thailand cadmium chromium cobalt copper drinking water heavy metal iron lead manganese zinc cadmium chromium cobalt copper heavy metal iron lead manganese zinc bioaccumulation concentration composition egg production farming system food safety grazing management health risk heavy metal animal food article comparative study controlled study demography duck environmental monitoring food contamination grazing health hazard nonhuman pollution poultry egg poultry farming questionnaire thailand waste water water contamination agricultural land analysis animal chemistry egg pollutant thailand animal feed animal cadmium chromium cobalt copper drinking water duck egg environmental pollutant farm iron lead manganese metal heavy thailand waste water zinc,[0. 0. 0. ... 0. 0. 0.]
epidemiology head neck cancer thailandreviewopen access,asiapacific journal clinical oncology,cancer epidemiology head neck laryngeal cancer nasopharyngeal cancer oral cancer oropharyngeal cancer thailand thyroid cancer alcohol consumption betel quid cancer epidemiology cancer incidence cancer prognosis cancer registry cigarette smoking head neck cancer human hypopharynx cancer larynx cancer mastication oropharynx cancer papillomavirus infection priority journal review sex ratio thailand thyroid cancer adolescent adult female head neck tumor incidence male middle aged register adolescent adult female head neck neoplasm human incidence male middle aged registry thailand,[0. 0. 0. ... 0. 0. 0.]
intracatheter antifungal lock leading detrimental complicationsarticleopen access,medical mycology case report,fungal peritonitis intracatheter paradoxical peritoneal dialysis pd amphotericin b cefazolin ceftazidime fungal dna galactomannan internal transcribed spacer abdominal tenderness acute abdomen adult antifungal therapy article case report catheter infection catheter removal cerebrovascular disease clinical article continuous ambulatory peritoneal dialysis diabetes mellitus end stage renal disease fungal colonization fusarium gene sequence hemodialysis hospitalization human hypertension intracatheter antifungal lock therapy male middle aged mycosis peritonitis polymerase chain reaction priority journal septicemia skin abscess trichosporon asahii,[0. 0. 0. ... 0. 0. 0.]
estimating longterm care cost among thai elderly phichit province case studyarticleopen access,journal aging research,aged article caregiver chronic disease crosssectional study disability educational status elderly care female formal care health care cost health care policy health survey human informal care long term care male marriage mathematical computing rural area structured interview thailand urban area elderly,[0. 0. 0. ... 0. 0. 0.]
first record ceriporia inflata ceriporia lacerata phanerochaetaceae basidiomycota indonesian tropical forestarticleopen access,agriculture natural resource,east kalimantan internal transcribed spacers resupinate tropical forest whiterot fungi,[0. 0. 0. ... 0. 0. 0.]
neuroscientist worry iron emerging role ferroptosis pathophysiology neuroprogressive diseasesreview,behavioural brain research,ferroptosis glutathione glutathione peroxidase iron homeostasis lipid peroxidation mitochondrial function oxidative nitrosative stress acetylcysteine cysteine deferasirox deferiprone deferoxamine glutathione glutathione disulfide glutathione reductase heat shock protein phospholipid hydroperoxide glutathione peroxidase protein deglycase dj transcription factor nrf transferrin ubidecarenone iron alzheimer disease astrocyte enzyme inactivation enzyme mechanism enzyme regulation ferroptosis human vitro study vivo study iron homeostasis iron therapy lipid peroxidation microglia mitochondrion nerve cell nitrosative stress nonhuman oxidative stress parkinson disease pathophysiology precipitation priority journal protein degradation review signal transduction upregulation animal cell death metabolism neurologic disease physiology animal cell death human iron nervous system disease,[0. 0. 0. ... 0. 0. 0.]
prevalence healthy aging factor associated thai urban elderly bangkok thailandarticle,journal health research,elderly healthy aging successful aging thailand adult aged aging article awareness cognition controlled study crosssectional study female healthy aging household income human human experiment interview major clinical study male mental health middle aged nutritional status physical activity prevalence quality life questionnaire sleep thailand,[0. 0. 0. ... 0. 0. 0.]
naturally acquired igg antibody thrombospondinrelated anonymous protein plasmodium vivax pvtrap thailand predominantly elicit immunological crossreactivityarticleopen access,tropical medicine international health,crossreactive antibody igg antibody response plasmodium vivax theombospondinrelated anonymous protein thrombospondin repeat willebrand adomain amino acid antigen cross reacting antibody epitope immunoglobulin g protein variant protozoal protein recombinant protein thrombospondin related anonymous protein unclassified drug immunoglobulin g protozoal dna protozoal protein protozoon antibody thrombospondinrelated adhesive protein protozoan antibody antigen bioassay disease prevalence enzyme enzyme activity immunity malaria mosquito protein serum vaccine amino acid sequence antibody response antibody titer article b lymphocyte controlled study correlation analysis cross reaction enzyme linked immunosorbent assay follow haplotype human immunogenicity malaria nonhuman plasmodium vivax prevalence protein domain protein expression seroconversion thailand thrombospondin repeat region immunology metabolism plasmodium vivax northeastern region thailand ubon ratchathani plasmodium vivax antibody protozoan dna protozoan enzymelinked immunosorbent assay human immunoglobulin g plasmodium vivax protozoan protein thailand,[0. 0. 0. ... 0. 0. 0.]
search low mass vector resonance decaying quarkantiquark pair protonproton collision tevarticleopen access,journal high energy physic,dark matter hadronhadron scattering experiment jet substructure jet,[0. 0. 0. ... 0. 0. 0.]
inhibitory effect killing kinetics lactic acid rice gel pathogenic bacteria causing bovine mastitisarticleopen access,scientia pharmaceutica,antiseptic lactic acid rice teat skin lactic acid antibacterial activity article bacterial cell bovine mastitis broth dilution controlled study experimental test gel vitro study membrane structure minimum bactericidal concentration minimum inhibitory concentration nonhuman rice gel rolling ball test scanning electron microscopy thixotropy viscosity,[0. 0. 0. ... 0. 0. 0.]
electrochemical immunoassay using open circuit potential detection labeled platinum nanoparticlesarticleopen access,sensor switzerland,electrochemical immunosensor human chorionic gonadotropin open circuit potential platinum nanoparticles screenprinted carbon electrode cost effectiveness electrocatalysis electrochemical electrode electrode hydrazine immunology immunosensors nanoparticles nitrogen compound platinum platinum compound timing circuit electrochemical immunosensors human chorionic gonadotropin open circuit potential platinum nanoparticles screenprinted carbon electrode chemical detection gold metal nanoparticle platinum electrochemical analysis electrode genetic procedure human immunoassay reproducibility biosensing technique electrochemical technique electrode gold human immunoassay metal nanoparticles platinum reproducibility result,[0. 0. 0. ... 0. 0. 0.]
xray absorption spectroscopy investigation relationship mg vacancy magnetic property mgo powderarticle,journal magnetism magnetic material,dferromagnetism mg vacancy mgoh mgo xas absorption spectrum calcination extended x ray absorption fine structure spectroscopy ferromagnetism x ray absorption near edge structure spectroscopy x ray diffraction ambient environment calcined powder extended xray absorption fine structure invacuum mgo powder vibrating sample magnetometer x ray fluorescence spectrometry xray absorption nearedge structure magnesia,[0. 0. 0. ... 0. 0. 0.]
normative database colorcode agreement peripapillary retinal nerve fiber layer macular ganglion cellinner plexiform layer thickness vietnamese populationarticle,journal glaucoma,asian american glaucoma key word optical coherence tomography peripapillary retinal nerve fiber layer retinal ganglion cell adult aged article crosssectional study female ganglion cell inner plexiform layer thickness human male middle aged normal human normal value priority journal retinal inner plexiform layer retinal nerve fiber layer thickness spectral domain optical coherence tomography vietnamese visual system parameter adolescent anatomy histology asian american cytology epidemiology factual database intraocular pressure nerve fiber normal distribution optic disk optical coherence tomography physiology procedure reproducibility retina ganglion cell elderly viet nam adolescent adult aged aged asian american crosssectional study database factual female healthy volunteer human intraocular pressure male middle aged nerve fiber normal distribution optic disk reproducibility result retinal ganglion cell tomography optical coherence vietnam,[0. 0. 0. ... 0. 0. 0.]
rikuzentakata high death toll great east japan earthquake tsunami disaster finding devastating disaster root causesarticle,international journal disaster risk reduction,great east japan earthquake tsunami high death toll rikuzentakata root cause,[0. 0. 0. ... 0. 0. 0.]
improvisation thang thai musical structurearticle,musicology australia,,[0. 0. 0. ... 0. 0. 0.]
search heavy righthanded w boson heavy neutrino event two sameflavor lepton two jet tevarticleopen access,journal high energy physic,beyond standard model hadronhadron scattering experiment,[0. 0. 0. ... 0. 0. 0.]
effect sodium thiosulfate arterial stiffness endstage renal disease patient undergoing chronic hemodialysis sodium thiosulfatehemodialysis study randomized controlled trialarticle,nephron,arterial stiffness cardioankle vascular index coronary artery calcification endstage renal disease hemodialysis vascular calcification albumin c reactive protein calcium cholesterol high density lipoprotein cholesterol low density lipoprotein cholesterol phosphate potassium protein sodium thiosulfate triacylglycerol vitamin c reactive protein sodium thiosulfate thiosulfate adult arterial stiffness article blood vessel calcification blood vessel parameter blood vessel wall cardio ankle vascular index chemical parameter clinical effectiveness clinical evaluation comparative study controlled study coronary artery calcification diabetes mellitus drug efficacy end stage renal disease female hemodialysis hemodynamic parameter human major clinical study male middle aged priority journal prospective study randomized controlled trial treatment duration aged ankle brachial index arterial stiffness blood vessel calcification chronic kidney failure coronary artery disease drug effect hemodynamics metabolism multimodality cancer therapy pathophysiology treatment outcome xray computed tomography adult aged ankle brachial index creactive protein combined modality therapy coronary artery disease female hemodynamics human kidney failure chronic male middle aged prospective study renal dialysis thiosulfates tomography xray computed treatment outcome vascular calcification vascular stiffness,[0. 0. 0. ... 0. 0. 0.]
pattern video game use child attentiondeficithyperactivity disorder typical developmentarticle,pediatrics international,attentiondeficithyperactivity disorder game addiction pathological gaming video game adolescent adult article attention deficit disorder behavior disorder assessment child controlled study female game addiction game addiction screening test human leisure major clinical study male parent pediatrician play priority journal teacher thai people video game addiction attention deficit disorder case control study child behavior psychology video game young adult adolescent attention deficit disorder hyperactivity behavior addictive casecontrol study child child behavior female human male video game young adult,[0. 0. 0. ... 0. 0. 0.]
neurocognitive advantage immediate antiretroviral treatment adult greater cdtcell countsarticleopen access,aid,antiretroviral treatment central nervous system hand hiv neurocognitive impairment antiretrovirus agent cd antigen virus rna antiretrovirus agent adolescent alcoholism antiretroviral therapy argentina article brazil cd cd ratio cd lymphocyte count center epidemiological study depression scale cerebrovascular accident chile clinical outcome cognition comparative study controlled study depression disorder higher cerebral function drug dependence european female follow framingham risk score heart infarction heart muscle revascularization hepatitis b hepatitis c human human immunodeficiency virus infected patient intention treat analysis major clinical study male medical history neurology neuropsychological test outcome assessment prevalence priority journal psychiatric diagnosis randomized controlled trial sexual transmission task performance united kingdom united state adult cd lymphocyte count clinical trial hiv associated dementia human immunodeficiency virus infection longitudinal study multicenter study pathology secondary prevention treatment outcome adult aid dementia complex antiretroviral agent cd lymphocyte count female hiv infection human longitudinal study male secondary prevention treatment outcome,[0. 0. 0. ... 0. 0. 0.]
pharmacokinetics rilpivirine week outcome switching efavirenz virologically suppressed hivinfected adolescentsarticle,antiviral therapy,cholesterol efavirenz low density lipoprotein rilpivirine triacylglycerol virus rna anti human immunodeficiency virus agent benzoxazine derivative biological marker efavirenz rilpivirine adolescent adolescent health adult antiretroviral therapy area curve article blood sampling cholesterol blood level clinical article clinical effectiveness drug blood level drug efficacy drug exposure drug safety drug substitution drug withdrawal female human human immunodeficiency virus infection lipoprotein blood level male maximum concentration multicenter study outcome assessment priority journal time maximum plasma concentration treatment duration triacylglycerol blood level trough concentration blood clinical trial drug effect highly active antiretroviral therapy human immunodeficiency virus human immunodeficiency virus infection immunology time factor treatment outcome virology young adult adolescent antihiv agent antiretroviral therapy highly active benzoxazines biomarkers drug substitution female hiv infection hiv human male rilpivirine time factor treatment outcome young adult,[0. 0. 0. ... 0. 0. 0.]
nonabelian tduality modular invariancearticleopen access,nuclear physic b,,[0. 0. 0. ... 0. 0. 0.]
mirap regulates rankl expression human mandibular osteoblastlike cellsarticle,journal cellular biochemistry,inflammation interferongamma micrornas periodontitis rank ligand gamma interferon messenger rna microrna microrna p osteoclast differentiation factor prostaglandin e unclassified drug gamma interferon ifng protein human microrna mirn microrna human osteoclast differentiation factor prostaglandin e tnfsf protein human article controlled study enzyme active site enzyme linked immunosorbent assay gene expression regulation gene function gene overexpression gene silencing genetic transfection homeostasis human human cell osteoblast polymerase chain reaction priority journal quantitative analysis reverse transcription polymerase chain reaction upregulation western blotting biosynthesis chemically induced genetics inflammation mandible metabolism osteoblast pathology dinoprostone gene expression regulation human inflammation interferongamma mandible micrornas osteoblast rank ligand,[0. 0. 0. ... 0. 0. 0.]
photocatalytic activity nitrogen silica doping tionanocatalyst grafted onto pmma filmarticle,material chemistry physic,atrp kinetics photocatalyst pmma tio aromatic compound atom transfer radical polymerization electron spin resonance spectroscopy enzyme kinetics grafting chemical kinetics magnetic moment nanocatalysts nitrogen photocatalysis photocatalysts scanning electron microscopy semiconductor doping silica titanium dioxide ultraviolet visible spectroscopy x ray diffraction energy dispersive xray methylene blue dye modified material photocatalytic activity pmma tio uv visible light uvvisible spectroscopy x ray photoelectron spectroscopy,[0. 0. 0. ... 0. 0. 0.]
skin manifestation patient adultonset immunodeficiency due antiinterferongamma autoantibody relationship systemic infectionsarticleopen access,acta dermatovenereologica,acquired immunodeficiency autoantibody ifngamma neutrophilic dermatosis skin sign sweet syndrome gamma interferon antibody autoantibody gamma interferon ifng protein human acute febrile neutrophilic dermatosis adult aged article atypical mycobacterium cellular immunity clinical article female human immune deficiency male neutrophil odds ratio onset age opportunistic infection priority journal retrospective study skin disease skin infection skin manifestation systemic mycosis acute febrile neutrophilic dermatosis autoimmunity blood immune deficiency immunocompromised patient immunology middle aged onset age opportunistic infection pathology prevalence risk assessment risk factor skin thailand adult age onset aged autoantibody autoimmunity female human immunocompromised host immunologic deficiency syndrome interferongamma male middle aged opportunistic infection prevalence retrospective study risk assessment risk factor skin sweet syndrome thailand,[0. 0. 0. ... 0. 0. 0.]
probiotic encapsulation spray drying using konjac glucomannan hydrolysate wall material application ice creamconference paper,italian journal food science,encapsulation glucomannan hydrolysate probiotic spray drying trehalose,[0. 0. 0. ... 0. 0. 0.]
epidemiology prognostic importance atrial fibrillation kidney transplant recipient metaanalysisarticleopen access,journal clinical medicine,atrial fibrillation kidney transplantation metaanalysis renal transplantation systematic review transplantation panel reactive antibody acute heart infarction article atrial fibrillation body mass cerebrovascular accident coronary artery disease diabetes mellitus end stage renal disease graft failure graft recipient human icd kidney graft kidney transplantation meta analysis mortality rate newcastleottawa scale outcome assessment postoperative complication prevalence risk factor systematic review topic transient ischemic attack,[0. 0. 0. ... 0. 0. 0.]
biodiesel production renewable catalyst calcined turbo jourdani gastropoda turbinidae shellsarticle,journal cleaner production,biodiesel solid catalyst transesterification waste shell animal biodiesel calcination calcium calcium carbonate calcium compound fatty acid fourier transform infrared spectroscopy methanol mollusc palm oil reusability scanning electron microscopy shell structure transesterification waste treatment x ray diffraction biodiesel production catalyst concentration fatty acid methyl ester efficiency porous structure scanning electron solid catalyst thermogravimetric catalyst,[0. 0. 0. ... 0. 0. 0.]
polybutyl acrylatecofluorinated acrylategraftnatural rubber synthesis application compatibilizer natural rubberpolybutyl acrylatecofluorinated acrylate filmsarticle,colloid surface physicochemical engineering aspect,butyl acrylate fluorinated acrylate graft copolymerization mechanical property natural rubber latex surface property atomic force microscopy contact angle copolymerization emulsification high resolution transmission electron microscopy mechanical property rubber rubber film surface property transmission electron microscopy butyl acrylate coreshell morphology fluorinated acrylate graft co polymerization natural rubber latex reaction condition transmission electron trifluoroethyl methacrylates grafting chemical acrylic acid butyl ester copolymer hexadecane latex methacrylic acid derivative polybutyl acrylate co fluorinated acrylate rubber unclassified drug article atomic force microscopy concentration parameter contact angle controlled study emulsion fluorine nuclear magnetic resonance hydrophobicity molecular weight morphology polymerization priority journal proton nuclear magnetic resonance reaction analysis reaction time surface property synthesis temperature sensitivity tensile strength transmission electron microscopy,[0. 0. 0. ... 0. 0. 0.]
new n duality quadratic monopolesarticleopen access,journal high energy physic,soliton monopoles instantons supersymmetric effective theory supersymmetry duality,[0. 0. 0. ... 0. 0. 0.]
immunophenotyping oral amyloidosis precise identification biochemical form retrospective studyarticleopen access,open dentistry journal,amyloidosis immunophenotyping localized oral amyloid systemic microglobulin,[0. 0. 0. ... 0. 0. 0.]
idea generation tool harnessing cultural heritage designdriven entrepreneursarticle,academy entrepreneurship journal,cultural heritage designdriven entrepreneur idea generation morphological analysis small mediumsized enterprise,[0. 0. 0. ... 0. 0. 0.]
